read_code,icd10_code,term.x,term.y
C32..,E789,"Disorder of lipoprotein metabolism, unspecified",Disorders of lipoid metabolism (& [cholesterol])
C320.,E780,Pure hypercholesterolaemia,(Hyperchol:[pure][fam])/(Fredr IIa lip)/(low dens lipoprot)
C3200,E780,Pure hypercholesterolaemia,Familial hyperbetalipoproteinaemia
C3201,E780,Pure hypercholesterolaemia,Hyperbetalipoproteinaemia
C3202,E780,Pure hypercholesterolaemia,"Hyperlipidaemia, group A"
C320y,E780,Pure hypercholesterolaemia,Other specified pure hypercholesterolaemia
C320z,E780,Pure hypercholesterolaemia,Pure hypercholesterolaemia NOS
C321.,E781,Pure hyperglyceridaemia,(Pure hyperglycerid)/(Fredric IV lip)/(v low dens lipoprot)
C322.,E782,Mixed hyperlipidaemia,NA
C324.,E785,"Hyperlipidaemia, unspecified",Hyperlipidaemia NOS
C325.,E786,Lipoprotein deficiency,Lipoprotein deficiency (& [Tangier disease])
C3250,E786,Lipoprotein deficiency,High density lipoid deficiency
C3251,E786,Lipoprotein deficiency,Hypoalphalipoproteinaemia
C3252,E786,Lipoprotein deficiency,Hypo-beta-lipoproteinaemia
C3253,E786,Lipoprotein deficiency,Abetalipoproteinaemia
C325z,E786,Lipoprotein deficiency,Lipoprotein deficiency NOS
C32y.,E788,Other disorders of lipoprotein metabolism,Other disorders of lipoid metabolism
C32yz,E788,Other disorders of lipoprotein metabolism,Other disorder of lipoid metabolism NOS
C32z.,E789,"Disorder of lipoprotein metabolism, unspecified",Disorder of lipoid metabolism NOS
Cyu8D,E784,Other hyperlipidaemia,[X]Other hyperlipidaemia
Cyu8E,E788,Other disorders of lipoprotein metabolism,NA
X003s,E786,Lipoprotein deficiency,NA
X00dK,E785,"Hyperlipidaemia, unspecified",NA
X20DV,E785,"Hyperlipidaemia, unspecified",NA
X20DW,E786,Lipoprotein deficiency,NA
X40Uu,E789,"Disorder of lipoprotein metabolism, unspecified",Disorder of lipid and lipoprotein metabolism
X40VI,E786,Lipoprotein deficiency,NA
X40VT,E789,"Disorder of lipoprotein metabolism, unspecified",NA
X40VW,E788,Other disorders of lipoprotein metabolism,NA
