read_code,icd10_code,term.x,term.y
65Q7.,B170,Acute delta-(super)infection in chronic hepatitis B,NA
A70..,B199,Unspecified viral hepatitis without hepatic coma,Viral hepatitis
A702.,B162,Acute hepatitis B without delta-agent with hepatic coma,Viral hepatitis B with coma
A7020,B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,Acute hep B with delta-agent (coinfection) with hep coma
A703.,B181,Chronic viral hepatitis B without delta-agent,Viral serum hepatitis B
A7030,B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,Acute hep B with delta-agent (coinfectn) without hep coma
A704.,B178,Other specified acute viral hepatitis,Other specified viral hepatitis with coma
A7040,B182,Chronic viral hepatitis C,Viral hepatitis C with coma
A704z,B178,Other specified acute viral hepatitis,Other specified viral hepatitis with hepatic coma NOS
A705.,B178,Other specified acute viral hepatitis,Other specified viral hepatitis without coma
A7050,B182,Chronic viral hepatitis C,Viral hepatitis C without mention of hepatic coma
A7054,B178,Other specified acute viral hepatitis,Hepatitis non-A non-B
A705z,B178,Other specified acute viral hepatitis,Other specified viral hepatitis without mention of coma NOS
A706.,B190,Unspecified viral hepatitis with hepatic coma,Unspecified viral hepatitis with coma
A7071,B181,Chronic viral hepatitis B without delta-agent,Chronic viral hepatitis B without delta-agent
A70z.,B199,Unspecified viral hepatitis without hepatic coma,Unspecified viral hepatitis
A70z0,B182,Chronic viral hepatitis C,Hepatitis C
AyuB0,B178,Other specified acute viral hepatitis,[X]Other specified acute viral hepatitis
AyuB1,B188,Other chronic viral hepatitis,[X]Other chronic viral hepatitis
AyuB2,B189,"Chronic viral hepatitis, unspecified","[X]Chronic viral hepatitis, unspecified"
AyuB3,B190,Unspecified viral hepatitis with hepatic coma,[X]Unspecified viral hepatitis with coma
AyuB4,B199,Unspecified viral hepatitis without hepatic coma,[X]Unspecified viral hepatitis without coma
J614.,K739,"Chronic hepatitis, unspecified",Chronic hepatitis
J6140,K730,"Chronic persistent hepatitis, not elsewhere classified",Chronic persistent hepatitis
J6141,K732,"Chronic active hepatitis, not elsewhere classified",Chronic active hepatitis
J6142,K738,"Other chronic hepatitis, not elsewhere classified",Chronic aggressive hepatitis
J6143,K730,"Chronic persistent hepatitis, not elsewhere classified",NA
J614y,K739,"Chronic hepatitis, unspecified",Chronic hepatitis unspecified
J614z,K739,"Chronic hepatitis, unspecified",Chronic hepatitis NOS
J6315,B199,Unspecified viral hepatitis without hepatic coma,NA
X306R,K73,"Chronic hepatitis, not elsewhere classified",NA
X306Z,B179,"Acute viral hepatitis, unspecified",NA
X306b,B179,"Acute viral hepatitis, unspecified",Acute viral hepatitis
X306c,B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,Acute hepatitis B with hepatitis D
X306d,B170,Acute delta-(super)infection in chronic hepatitis B,NA
X306e,B171,Acute hepatitis C,Acute hepatitis C
X306g,B178,Other specified acute viral hepatitis,Acute non-A non-B hepatitis
X306h,B189,"Chronic viral hepatitis, unspecified",Chronic viral hepatitis
X306i,B181,Chronic viral hepatitis B without delta-agent,Chronic viral hepatitis B
X306j,B180,Chronic viral hepatitis B with delta-agent,Chronic viral hepatitis B with hepatitis D
X306k,B182,Chronic viral hepatitis C,Chronic viral hepatitis C
X306l,B188,Other chronic viral hepatitis,Chronic non-A non-B hepatitis
X307G,K731,"Chronic lobular hepatitis, not elsewhere classified",Chronic lobular hepatitis
X307I,K738,"Other chronic hepatitis, not elsewhere classified",NA
XE0RK,B169,Acute hepatitis B without delta-agent and without hepatic coma,Acute hepatitis B
XE0TY,B169,Acute hepatitis B without delta-agent and without hepatic coma,NA
XM1Oq,B179,"Acute viral hepatitis, unspecified",NA
Xa9C8,B178,Other specified acute viral hepatitis,NA
XaYbp,B190,Unspecified viral hepatitis with hepatic coma,Viral hepatitis with hepatic coma
XaYbq,B199,Unspecified viral hepatitis without hepatic coma,Viral hepatitis without hepatic coma
XaZ5P,B182,Chronic viral hepatitis C,Hepatitis C genotype 1
XaZ5Q,B182,Chronic viral hepatitis C,Hepatitis C genotype 2
XaZ5S,B182,Chronic viral hepatitis C,Hepatitis C genotype 3
XaZ5T,B182,Chronic viral hepatitis C,Hepatitis C genotype 4
XaZ5U,B182,Chronic viral hepatitis C,Hepatitis C genotype 5
XaZ5V,B182,Chronic viral hepatitis C,Hepatitis C genotype 6
A701.,NA,NA,Hepatitis: [viral (infectious) A] or [infective]
A7072,NA,NA,Chronic viral hepatitis C
XE0dH,NA,NA,Chronic hepatitis (& [NOS]/[active B]/[active]/[persistent])
XaPEy,NA,NA,Hepatitis B screening positive
XaPLl,NA,NA,Hepatitis C screening positive
XaXBp,NA,NA,Hepatitis C viral ribonucleic acid PCR positive
XaYbh,NA,NA,Hepatitis C antigen positive
Xaa9D,NA,NA,Hepatitis C antiviral treatment completed
Y096d,NA,NA,Hepatitis B status - Positive
Y096f,NA,NA,Hepatitis C status  -Positive
Y1f28,NA,NA,Viral hepatitis D
Y7117,NA,NA,Hepatitis B surface antig +ve
