code,term
B16,Acute hepatitis B
B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
B162,Acute hepatitis B without delta-agent with hepatic coma
B169,Acute hepatitis B without delta-agent and without hepatic coma
B17,Other acute viral hepatitis
B170,Acute delta-(super)infection in chronic hepatitis B
B171,Acute hepatitis C
B178,Other specified acute viral hepatitis
B179,"Acute viral hepatitis, unspecified"
B18,Chronic viral hepatitis
B180,Chronic viral hepatitis B with delta-agent
B181,Chronic viral hepatitis B without delta-agent
B182,Chronic viral hepatitis C
B188,Other chronic viral hepatitis
B189,"Chronic viral hepatitis, unspecified"
B19,Unspecified viral hepatitis
B190,Unspecified viral hepatitis with hepatic coma
B199,Unspecified viral hepatitis without hepatic coma
K73,"Chronic hepatitis, not elsewhere classified"
K730,"Chronic persistent hepatitis, not elsewhere classified"
K731,"Chronic lobular hepatitis, not elsewhere classified"
K732,"Chronic active hepatitis, not elsewhere classified"
K738,"Other chronic hepatitis, not elsewhere classified"
K739,"Chronic hepatitis, unspecified"
