read_code,icd10_code,term
A70..,B199,Unspecified viral hepatitis without hepatic coma
A702.,B162,Acute hepatitis B without delta-agent with hepatic coma
A7020,B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
A703.,B169,Acute hepatitis B without delta-agent and without hepatic coma
A7030,B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
A704.,B178,Other specified acute viral hepatitis
A7040,B182,Chronic viral hepatitis C
A704z,B178,Other specified acute viral hepatitis
A705.,B178,Other specified acute viral hepatitis
A7050,B182,Chronic viral hepatitis C
A7051,B170,Acute delta-(super)infection in chronic hepatitis B
A7054,B178,Other specified acute viral hepatitis
A705z,B178,Other specified acute viral hepatitis
A706.,B190,Unspecified viral hepatitis with hepatic coma
A707.,B189,"Chronic viral hepatitis, unspecified"
A7070,B180,Chronic viral hepatitis B with delta-agent
A7071,B181,Chronic viral hepatitis B without delta-agent
A7072,B182,Chronic viral hepatitis C
A7073,B181,Chronic viral hepatitis B without delta-agent
A707X,B189,"Chronic viral hepatitis, unspecified"
A708.,B190,Unspecified viral hepatitis with hepatic coma
A709.,B199,Unspecified viral hepatitis without hepatic coma
A70A.,B182,Chronic viral hepatitis C
A70B.,B182,Chronic viral hepatitis C
A70C.,B182,Chronic viral hepatitis C
A70D.,B182,Chronic viral hepatitis C
A70E.,B182,Chronic viral hepatitis C
A70F.,B182,Chronic viral hepatitis C
A70G.,B171,Acute hepatitis C
A70z.,B199,Unspecified viral hepatitis without hepatic coma
A70z0,B182,Chronic viral hepatitis C
A70z1,B179,"Acute viral hepatitis, unspecified"
AyuB.,B199,Unspecified viral hepatitis without hepatic coma
AyuB0,B178,Other specified acute viral hepatitis
AyuB1,B188,Other chronic viral hepatitis
AyuB2,B189,"Chronic viral hepatitis, unspecified"
AyuB3,B190,Unspecified viral hepatitis with hepatic coma
AyuB4,B199,Unspecified viral hepatitis without hepatic coma
J614.,K739,"Chronic hepatitis, unspecified"
J6140,K730,"Chronic persistent hepatitis, not elsewhere classified"
J6141,K732,"Chronic active hepatitis, not elsewhere classified"
J6142,K738,"Other chronic hepatitis, not elsewhere classified"
J6143,K730,"Chronic persistent hepatitis, not elsewhere classified"
J6144,K731,"Chronic lobular hepatitis, not elsewhere classified"
J614y,K739,"Chronic hepatitis, unspecified"
J614z,K739,"Chronic hepatitis, unspecified"
